Id	Label	modularity_class	weighted degree	degree	clustering	triangles
Athens	Athens	0	6.666665	6	0.6	9
Besancon	Besancon	0	88.833329	38	0.075391	53
Heidelberg	Heidelberg	0	22.833332	16	0.258333	31
Larissa	Larissa	0	2.333331	7	0.285714	6
Rome	Rome	0	10.999998	8	0.464286	13
Thessaloniki	Thessaloniki	0	1.999999	3	0.666667	2
Basel	Basel	0	2	2	1	1
Zagreb	Zagreb	0	3.666665	4	0.166667	1
Belgrade	Belgrade	0	2	3	0.666667	2
St. Gallen	St. Gallen	0	1	2	1	1
Berlin	Berlin	0	7.666667	1	0	0
Birmingham	Birmingham	4	2.333333	3	1	3
Budapest	Budapest	3	1.333332	4	0	0
Cambridge	Cambridge	0	11.666665	8	0.5	14
Leicester	Leicester	3	0.999999	3	1	3
Lens	Lens	0	0.333333	1	0	0
Lisbon	Lisbon	2	1	2	1	1
London	London	0	0.666666	2	1	1
Maastricht	Maastricht	0	0.666667	1	0	0
Marseille	Marseille	0	22.666666	4	0.666667	4
Milan	Milan	1	0.666666	2	1	1
Moscow	Moscow	0	5.333333	9	0.277778	10
Nizhniy Novgorod	Nizhniy Novgorod	0	9.333333	5	0.4	4
Nizhny Tagil	Nizhny Tagil	0	1.666667	2	1	1
Porto	Porto	2	4.333333	4	0.5	3
Praha	Praha	0	4.666667	4	0.833333	5
Pribram	Pribram	0	0.333333	1	0	0
Rotterdam	Rotterdam	0	3.999998	5	0.6	6
Saint-Petersburg	Saint-Petersburg	0	0.666666	2	1	1
Sevilla	Sevilla	2	8	9	0.222222	8
Skane	Skane	0	7	4	0.5	3
Stockholm	Stockholm	0	3	3	1	3
Targoviste	Targoviste	0	0.666666	2	1	1
Utrecht	Utrecht	0	3	3	1	3
Valencia	Valencia	0	1.666666	3	0.333333	1
Warsaw	Warsaw	4	34.999997	24	0.141304	39
Bucharest	Bucharest	3	2.333332	5	0.3	3
Debrecen	Debrecen	3	4.999999	9	0.444444	16
Cluj	Cluj	3	0.333333	1	0	0
Galati	Galati	3	0.333333	1	0	0
Ciudad Real	Ciudad Real	2	0.999999	3	0.333333	1
Copenhagen	Copenhagen	4	1.999999	4	0.5	3
Geneva	Geneva	4	0.333333	1	0	0
Naples	Naples	4	7.333332	4	0.833333	5
Paris	Paris	0	0.333333	1	0	0
Strasbourg	Strasbourg	4	10.666666	5	0.7	7
Ostergotland	Ostergotland	4	0.666666	2	0	0
Madrid	Madrid	4	1.333333	1	0	0
Piedmont	Piedmont	1	0.666666	2	1	1
Rostov-on-Don	Rostov-on-Don	0	0.333333	1	0	0
A Coruna	A Coruna	2	0.333333	1	0	0
Murcia	Murcia	2	1	1	0	0
Santander	Santander	2	1	1	0	0
Marcy l'etoile	Marcy l'etoile	0	0.333333	1	0	0
Gothenburg	Gothenburg	4	0.333333	1	0	0
Münster	Münster	4	1	1	0	0
Split	Split	4	0.333333	1	0	0
Frankfurt	Frankfurt	0	0.333333	1	0	0
